"source_line","section_number","section_text","title","noise_flags","sequence_run","sequence_status","duplicate_group","canonical_candidate","review_required"
"426","1","一","纵身亡魔心仍不悔","","1","run_start","section-1","True","False"
"604","2","二","逆光阴五百年觉悟","","1","monotonic_next","section-2","True","False"
"772","3","三","请一边玩蛋去","","1","monotonic_next","section-3","True","False"
"906","4","四","古月方源！","","1","monotonic_next","section-4","True","False"
"1062","5","五","人祖三蛊，希望开窍","","1","monotonic_next","section-5","True","False"
"1178","6","六","未来的路，会很精彩","","1","monotonic_next","section-6","True","False"
"1334","7","七","蛊师有九转，花酒留遗藏","","1","monotonic_next","section-7","True","False"
"1448","8","八","物是人非","","1","monotonic_next","section-8","True","False"
"1624","9","九","渐行渐远","","1","monotonic_next","section-9","True","False"
"1778","10","十","天有不测风云，炼蛊别具艰辛","","1","monotonic_next","section-10","True","False"
"1908","11","十一","不过是色诱罢了","","1","monotonic_next","section-11","True","False"
"2056","12","十二","青竹酒香，蛊师逞威","","1","monotonic_next","section-12","True","False"
"2234","13","十三","月下竹林，一点珠雪","","1","monotonic_next","section-13","True","False"
"2396","14","十四","山缝之中藏玄机","","1","monotonic_next","section-14","True","False"
"2574","15","十五","历史由胜利者书写","","1","monotonic_next","section-15","True","False"
"2680","16","十六","尽收囊中","","1","monotonic_next","section-16","True","False"
"2808","17","十七","初炼酒虫","","1","monotonic_next","section-17","True","False"
"2980","18","十八","就让往事如烟飘散","","1","monotonic_next","section-18","True","False"
"3194","19","十九","六转本命春秋蝉！","","1","monotonic_next","section-19","True","False"
"3328","20","二十","学堂家老无语了","","1","monotonic_next","section-20","True","False"
"3456","21","二十一","怎么会是哥哥得了这第一？","","1","monotonic_next","section-21","True","False"
"3576","22","二十二","月刃飞舞","","1","monotonic_next","section-22","True","False"
"3740","23","二十三","养蛊就像养情妇","","1","monotonic_next","section-23","True","False"
"3928","24","二十四","近战蛊师","","1","monotonic_next","section-24","True","False"
"4080","25","二十五","春光正明媚","","1","monotonic_next","section-25","True","False"
