"heading_id","line","number_text","number","title","flags","end_line","content_characters","contains_author_ps","duplicate_title"
"1","426","一","1","纵身亡魔心仍不悔","","603","3570","True","False"
"2","604","二","2","逆光阴五百年觉悟","","771","3488","False","False"
"3","772","三","3","请一边玩蛋去","","905","2528","False","False"
"4","906","四","4","古月方源！","","1061","3273","False","False"
"5","1062","五","5","人祖三蛊，希望开窍","","1177","2308","False","False"
"6","1178","六","6","未来的路，会很精彩","","1333","2727","True","False"
"7","1334","七","7","蛊师有九转，花酒留遗藏","","1447","2956","False","False"
"8","1448","八","8","物是人非","","1623","3442","False","False"
"9","1624","九","9","渐行渐远","","1777","3374","False","False"
"10","1778","十","10","天有不测风云，炼蛊别具艰辛","","1907","3037","True","False"
"11","1908","十一","11","不过是色诱罢了","","2055","3074","False","False"
"12","2056","十二","12","青竹酒香，蛊师逞威","","2233","3674","False","False"
"13","2234","十三","13","月下竹林，一点珠雪","","2395","2965","False","False"
"14","2396","十四","14","山缝之中藏玄机","","2573","3423","False","False"
"15","2574","十五","15","历史由胜利者书写","","2679","2331","False","False"
"16","2680","十六","16","尽收囊中","","2807","2611","False","False"
"17","2808","十七","17","初炼酒虫","","2979","3472","False","False"
"18","2980","十八","18","就让往事如烟飘散","","3193","4931","True","False"
"19","3194","十九","19","六转本命春秋蝉！","","3327","2701","False","False"
"20","3328","二十","20","学堂家老无语了","","3455","2687","False","False"
"21","3456","二十一","21","怎么会是哥哥得了这第一？","","3575","2649","False","False"
"22","3576","二十二","22","月刃飞舞","","3739","3737","False","False"
"23","3740","二十三","23","养蛊就像养情妇","","3927","3746","False","False"
"24","3928","二十四","24","近战蛊师","","4079","3271","False","False"
"25","4080","二十五","25","春光正明媚","","4229","2695","False","False"
"26","4230","二十六","26","一切组织的本质","","4315","2369","False","False"
"27","4316","二十七","27","公然勒索","","4453","2415","False","False"
"28","4454","二十八","28","无本生意！","","4617","3666","True","False"
"29","4618","二十九","29","不择手段","","4757","2980","False","False"
"30","4758","三十","30","方源！你又来抢？","","4857","2322","False","False"
"31","4858","三十一","31","方源，你大祸临头了！","","4979","2904","False","False"
"32","4980","三十二","32","戏耍","","5129","3120","False","False"
"33","5130","三十三","33","你骂吧","","5261","2923","False","False"
"34","5262","三十四","34","压着你打！","","5409","2812","True","False"
"35","5410","三十五","35","你叫吧","","5559","2668","True","False"
"36","5560","三十六","36","分尸送礼！","","5701","2696","False","False"
"37","5702","三十七","37","既是妥协又是威胁","","5817","3282","False","False"
"38","5818","三十八","38","魔头在光明中行走","","6013","4672","True","False"
"39","6014","三十九","39","蛤蟆商队","","6143","2885","False","False"
"40","6144","四十","40","紫金石中蟾蛊眠","","6277","3117","False","False"
"41","6278","四十一","41","解石","","6423","2734","False","False"
"42","6424","四十二","42","竟然真的开出了蛊？！","","6577","3254","False","False"
"43","6578","四十三","43","最后的第六块紫金石","","6691","2419","False","False"
"44","6692","四十四","44","猴儿酒，酒虫机缘不相让","","6855","3474","False","False"
"45","6856","四十五","45","洞心机，已在瓮中不自觉","","7045","4323","True","False"
"46","7046","四十六","46","杀人不要想太多","","7165","2973","False","False"
"47","7166","四十七","47","贾金生，其实我不想杀你的","","7361","4230","False","False"
"48","7362","四十八","48","有些可爱","","7553","4028","True","False"
"49","7554","四十九","49","不愁方源脱离掌控","","7711","2935","False","False"
"50","7712","五十","50","中阶!","","7891","3625","False","False"
"51","7892","五十一","51","倒要看看你怎么解释","","8075","2965","True","False"
"52","8076","五十二","52","我的解释你只能接受","","8303","4398","True","False"
"53","8304","五十三","53","方源就任命你为班头","","8311","2946","False","False"
"54","8312","五十四","54","我可是班头啊！","","8521","3737","False","False"
"55","8522","五十五","55","要的就是你这番话","","8679","3533","False","False"
"56","8680","五十六","56","洗尽嫌疑","","8815","3342","False","False"
"57","8816","五十七","57","君子的谎言","","8979","3355","False","False"
"58","8980","五十八","58","家族里不是只有规矩","","9117","3721","False","False"
"59","9118","五十九","59","不管三转四转，都是猴子","","9241","2886","True","False"
"60","9242","六十","60","影灭壁破现甬道，魔道传承岂易","","9393","2919","False","False"
"61","9394","六十一","61","草绳上的人生","","9553","3120","False","False"
"62","9554","六十二","62","蛊室再选蛊","","9735","3560","False","False"
"63","9736","六十三","63","月下赠玉皮，地花藏白豕","","9925","4005","True","False"
"64","9926","六十四","64","暗事好做，明事难成","","10087","3117","False","False"
"65","10088","六十五","65","还不快滚","","10259","3428","False","False"
"66","10260","六十六","66","人死如猪死","","10453","3052","False","False"
"67","10454","六十七","67","你放心，我会饶了你们的","","10583","3300","True","False"
"68","10584","六十八","68","大自然没有无辜","","10731","2937","False","False"
"69","10732","六十九","69","命贱如草","","10839","2858","False","False"
"70","10840","七十","70","使用白豕蛊","","11013","3351","False","False"
"71","11014","七十一","71","力可扛猪思低调","","11167","3559","False","False"
"72","11168","七十二","72","任何组织都需要忠诚","","11301","3097","True","False"
"73","11302","七十三","73","神秘的红圈标记","","11475","3292","False","False"
"74","11476","七十四","74","智窥迷雾现杀机","","11631","3742","False","False"
"75","11632","七十五","75","魔道的觉悟！","","11809","3560","False","False"
"76","11810","七十六","76","后悔吗","","12005","3265","False","False"
"77","12006","七十七","77","阴差阳错","","12179","3531","False","False"
"78","12180","七十八","78","不出算计收获丰","","12333","3455","False","False"
"79","12334","七十九","79","突破遗藏第六蛊","","12519","3535","False","False"
"80","12520","八十","80","战力大涨","","12707","3253","False","False"
"81","12708","八十一","81","二转初阶！","","12905","3867","False","False"
"82","12906","八十二","82","年末考核开始","","13069","3200","False","False"
"83","13070","八十三","83","扫强敌方正展风采","","13207","2961","False","False"
"84","13208","八十四","84","狠狠地踩踏！","","13391","3052","False","False"
"85","13392","八十五","85","热血和冷血！！","","13617","3236","False","False"
"86","13618","八十六","86","怀疑和试探","","13773","3463","True","False"
"87","13774","八十七","87","态度就是心的面具","","13915","2770","False","False"
"88","13916","八十八","88","下马威、刁难和打压","","14075","3133","True","False"
"89","14076","八十九","89","一条病蛇盘踞在脚边","","14213","3028","False","False"
"90","14214","九十","90","不过是些许风霜罢了","","14373","3674","True","False"
"91","14374","九十一","91","方源，我们很担心你","","14561","3797","False","False"
"92","14562","九十二","92","未来遥遥在望","","14737","3536","True","False"
"93","14738","九十三","93","小兽潮","","14923","3642","True","False"
"94","14924","九十四","94","忽然收力","","15071","2927","False","False"
"95","15072","九十五","95","猪的队友","","15267","3519","False","False"
"96","15268","九十六","96","为了死去的人","","15465","3899","False","False"
"97","15466","九十七","97","魔头横行","","15641","3206","False","False"
"98","15642","九十八","98","炼蛊的艰难","","15785","3353","False","False"
"99","15786","九十九","99","是人不是神","","16037","4532","False","False"
"100","16038","一百","100","白玉蛊","","16225","3488","False","False"
"101","16226","一百零一","101","心老人便老（求订阅和月票！）","author_or_site","16375","3635","False","False"
"102","16376","一百零二","102","冬风吹来春天(保质量第三更)","","16531","3551","True","False"
"103","16532","一百零三","103","野心一大，世界就小","","16699","3732","True","False"
"104","16700","一百零四","104","想买酒虫？","","16869","3684","True","False"
"105","16870","一百零五","105","我会输得很惨","","17023","3835","True","False"
"106","17024","一百零六","106","半生积累成泡影，唯有本命长久存","","17213","3791","True","False"
"107","17214","一百零七","107","熟能生巧掂元石，酒肆当中恶客来","","17383","3576","True","False"
"108","17384","一百零八","108","那双眼睛！","","17667","4980","False","False"
"109","17668","一百零九","109","树屋藏酒虫","","17853","3554","False","False"
"110","17854","一百一十","110","老太婆，你太嫩了！","","18045","3811","False","False"
"111","18046","一百一十一","111","元石不过身外物","","18227","3839","False","False"
"112","18228","一百一十二","112","真是好魄力","","18411","3899","False","False"
"113","18412","一百一十三","113","闷声发财","","18589","3622","False","False"
"114","18590","一百一十四","114","洞中有猴王","","18783","3594","True","False"
"115","18784","一百一十五","115","晋升中阶","","18971","3459","False","False"
"116","18972","一百一十六","116","斩杀猴王得新蛊","","19159","3491","False","False"
"117","19160","一百一十七","117","苦贝酒和吞江蟾","","19327","3550","False","False"
"118","19328","一百一十八","118","吞江蟾的传说","","19521","3773","False","False"
"119","19522","一百一十九","119","此子顽劣，需要打磨","","19689","3567","False","False"
"120","19690","一百二十","120","得来全不费工夫","","19957","4471","False","False"
"121","19958","一百二十一","121","四味酒虫","","20151","4014","True","False"
"122","20152","一百二十二","122","人生几多风雪","","20331","3670","True","False"
"123","20332","一百二十三","123","天地我在独行","","20487","3656","True","False"
"124","20488","一百二十四","124","我不需要理解","","20645","3498","False","False"
"125","20646","一百二十五","125","哦，那我认输","","20859","3614","False","False"
"126","20860","一百二十六","126","木魅之殇","","21053","3645","False","False"
"127","21054","一百二十七","127","所谓的道德和感情（大章）","","21279","4857","False","False"
"128","21280","一百二十八","128","严冬不肃杀，何以见阳春！","","21493","3645","True","False"
"129","21494","一百二十九","129","锯齿金蜈","","21669","3452","False","False"
"130","21670","一百三十","130","还是族人可靠","","21875","3741","True","False"
"131","21876","一百三十一","131","孤独是最深邃的黑暗","","22081","3761","False","False"
"132","22082","一百三十二","132","三步芳草","","22291","3476","False","False"
"133","22292","一百三十三","133","谢谢你让我杀你","","22497","3916","False","False"
"134","22498","一百三十四","134","追杀","","22691","3450","False","False"
"135","22692","一百三十五","135","北冥冰魄，十绝天资","","22847","3882","False","False"
"136","22848","一百三十六","136","斗力斗智","","23039","3568","False","False"
"137","23040","一百三十七","137","影之殇","","23225","3548","False","False"
"138","23226","一百三十八","138","居然有人追着白凝冰杀？","","23425","3649","False","False"
"139","23426","一百三十九","139","断臂","","23603","4119","True","False"
"140","23604","一百四十","140","古月青书VS白凝冰（上）","","23781","3455","False","False"
"141","23782","一百四十一","141","古月青书VS白凝冰（中）","","23985","3595","False","False"
"142","23986","一百四十二","142","古月青书VS白凝冰（下）","","24169","3491","True","False"
"143","24170","一百四十三","143","答案","","24391","3538","True","False"
"144","24392","一百四十四","144","牺牲常在，而信念不死","","24557","3622","True","False"
"145","24558","一百四十五","145","都鼓励牺牲","","24739","3883","True","False"
"146","24740","一百四十六","146","强势(第二更)","","24921","3680","False","False"
"147","24922","一百四十七","147","这个方源太狂妄(第三更)","","25099","3792","False","False"
"148","25100","一百四十八","148","局面（第一更）","","25269","3558","True","False"
"149","25270","一百四十九","149","群狼袭寨（第二更）","","25505","3923","True","False"
"150","25506","一百五十","150","我只是帮自己（第三更）","","25735","3908","True","False"
"151","25736","一百五十一","151","魔性","","25931","3460","True","False"
"152","25932","一百五十二","152","晋升三转（第二更）","","26137","3578","True","False"
"153","26138","一百五十三","153","真的老了","","26327","3648","True","False"
"154","26328","一百五十四","154","气得吐血","","26509","3680","True","False"
"155","26510","一百五十五","155","借","","26679","3457","True","False"
"156","26680","一百五十六","156","照影秘方，花酒迷离","","26829","3465","True","False"
"157","26830","一百五十七","157","血月蛊","","26997","3549","True","False"
"158","26998","一百五十八","158","此一时彼一时","","27205","3902","True","False"
"159","27206","一百五十九","159","这个方源……","","27429","3909","True","False"
"160","27430","一百六十","160","满堂叫好","","27623","3563","True","False"
"161","27624","一百六十一","161","心甘情愿被剥削","","27827","3716","True","False"
"162","27828","一百六十二","162","天元宝莲","","28021","3577","True","False"
"163","28022","一百六十三","163","雷冠头狼","","28195","3461","True","False"
"164","28196","一百六十四","164","激战","","28417","3650","True","False"
"165","28418","一百六十五","165","血滴子","","28609","3670","True","False"
"166","28610","一百六十六","166","二战白凝冰","","28835","3606","True","False"
"167","28836","一百六十七","167","第四头？！","","29057","3630","True","False"
"168","29058","一百六十八","168","狡电狈","","29289","3770","True","False"
"169","29290","一百六十九","169","寻路","","29493","3880","True","False"
"170","29494","一百七十","170","铁面无私血可冷？","","29731","3918","True","False"
"171","29732","一百七十一","171","骨子里的魔性","","29885","3504","True","False"
"172","29886","一百七十二","172","非方源莫属！","","30069","3569","True","False"
"173","30070","一百七十三","173","白相仙蛇","","30269","3590","True","False"
"174","30270","一百七十四","174","小神捕","","30419","3414","False","False"
"175","30420","一百七十五","175","压力渐生","","30595","3453","True","False"
"176","30596","一百七十六","176","牺牲的觉悟","","30741","3499","False","False"
"177","30742","一百七十七","177","哥哥，你怎么能这样对我？！","","30895","3407","False","False"
"178","30896","一百七十八","178","黑白灰","","31085","3805","False","False"
"179","31086","一百七十九","179","历史由人书写","","31249","3475","False","False"
"180","31250","一百八十","180","再看开窍大典","","31377","2617","True","False"
"181","31378","一百八十一","181","阴差阳错（大章）","","31601","4541","False","False"
"182","31602","一百八十二","182","血湖墓地","","31605","47","False","True"
"183","31606","一百八十二","182","血湖墓地","","31805","3468","True","True"
"184","31806","一百八十三","183","血海老祖","","31975","3457","False","False"
"185","31976","一百八十四","184","五转激战","","31981","168","False","False"
"186","31982","一百八十五","185","古月一代，五大飞僵","","31985","52","False","True"
"187","31986","一百八十五","185","古月一代，五大飞僵","","32193","3610","True","True"
"188","32194","一百八十六","186","春秋不出","","32199","168","False","False"
"189","32200","一百八十七","187","时间长河唯一条，春秋蝉做舟来渡","","32357","3510","True","False"
"190","32358","一百八十八","188","前人开道后人跑路","","32361","51","False","True"
"191","32362","一百八十八","188","前人开道后人跑路","","32553","3497","False","True"
"192","32554","一百八十九","189","惊变","","32735","3585","False","True"
"193","32736","一百九十","190","三战白凝冰","","32949","3584","False","False"
"194","32950","一百九十一","191","鹤灾","","33151","3747","False","False"
"195","33152","一百九十二","192","扬眉吐气","","33155","47","False","True"
"196","33156","一百九十二","192","扬眉吐气","","33291","3370","True","True"
"197","33292","一百九十三","193","神捕后手","","33295","47","False","True"
"198","33296","一百九十三","193","神捕后手","","33469","3489","True","True"
"199","33470","一百九十四","194","血幕天华","","33473","47","False","True"
"200","33474","一百九十四","194","血幕天华","","33641","3437","True","True"
"201","33642","一百九十五","195","那就让我成魔","","33645","49","False","True"
"202","33646","一百九十五","195","那就让我成魔","","33789","3360","True","True"
"203","33790","一百九十六","196","再次重生","","33793","47","False","True"
"204","33794","一百九十六","196","再次重生","","33989","3621","True","True"
"205","33990","一百九十七","197","改命","","34197","3550","False","False"
"206","34198","一百九十八","198","杀人放血心狠，因祸得福手辣！","","34409","3683","False","False"
"207","34410","一百九十九","199","走向各自的命运","","34589","3622","False","False"
"208","34590","一","1","黄龙江上竹筏倾","","34593","46","False","True"
"209","34594","一","1","黄龙江上竹筏倾","","34773","3621","True","True"
"210","34774","二","2","浅滩休整借蛊虫","","34777","46","False","True"
"211","34778","二","2","浅滩休整借蛊虫","","34959","3610","True","True"
"212","34960","三","3","鳄杀机少女悲鸣","","34963","46","False","True"
"213","34964","三","3","鳄杀机少女悲鸣","","35141","3473","True","True"
"214","35142","四","4","各怀异志","","35333","3506","False","False"
"215","35334","五","5","背甲蛊和鳄力蛊","","35529","3478","False","False"
"216","35530","六","6","夜宿树冠","","35715","3545","False","False"
"217","35716","七","7","成为主导者","","35719","44","False","True"
"218","35720","七","7","成为主导者","","35907","3489","True","True"
"219","35908","八","8","轩辕神鸡","","35911","43","False","True"
"220","35912","八","8","轩辕神鸡","","36081","3450","True","True"
"221","36082","九","9","奔逃","","36085","41","False","True"
"222","36086","九","9","奔逃","","36305","3657","True","True"
"223","36306","十","10","遭遇魔道蛊师","","36309","45","False","True"
"224","36310","十","10","遭遇魔道蛊师","","36505","3534","True","True"
"225","36506","十一","11","谋划","","36663","3530","False","False"
"226","36664","十二","12","路","","36983","6180","False","False"
"227","36984","十三","13","猴脑美食","","37179","3574","False","False"
"228","37180","十四","14","坑","","37365","3489","False","False"
"229","37366","十五","15","轰！","","37599","4096","False","False"
"230","37600","十六","16","方源落泪","","37785","3504","False","False"
"231","37786","十七","17","青铜舍利蛊","","37949","3479","False","False"
"232","37950","十八","18","授人以柄","","38139","3496","False","False"
"233","38140","十九","19","演得好一场戏","","38319","3501","False","False"
"234","38320","二十","20","跋涉白骨山","","38507","3787","False","False"
"235","38508","二十一","21","原来是魔道贼子！","","38715","3696","False","False"
"236","38716","二十二","22","欢迎来到白骨山","","38939","3555","False","False"
"237","38940","二十三","23","白骨传承（上）","","39151","3851","False","False"
"238","39152","二十四","24","白骨传承（中）","","39385","3681","False","False"
"239","39386","二十五","25","白骨传承（下）","","39553","3525","False","False"
"240","39554","二十六","26","玉骨铁骨","","39771","3580","True","False"
"241","39772","二十七","27","骨肉团圆","","40043","4884","False","False"
"242","40044","二十八","28","无足鸟啊，振翅高飞吧！","","40427","5538","False","False"
"243","40428","二十九","29","幽豹殉情","","40617","3748","False","False"
"244","40618","三十","30","村庄休整","","40795","3458","False","False"
"245","40796","三十一","31","合作修行","","40985","3517","False","False"
"246","40986","三十二","32","修行得上瘾了！","","41167","3463","False","False"
"247","41168","三十三","33","换骨剧痛","","41347","3615","False","False"
"248","41348","三十四","34","深深的误会","","41545","3476","False","False"
"249","41546","三十五","35","通缉令","","41739","3685","False","False"
"250","41740","三十六","36","商心慈","","41941","3712","False","False"
"251","41942","三十七","37","好人会有好报？","","42127","3559","False","False"
"252","42128","三十八","38","揍人","","42385","3697","True","False"
"253","42386","三十九","39","小姐救命！","","42615","3659","False","False"
"254","42616","四十","40","匪猴山","","42799","3494","False","False"
"255","42800","四十一","41","掰手腕","","43005","3594","True","False"
"256","43006","四十二","42","黄金山","","43191","3515","False","False"
"257","43192","四十三","43","聪明人的默契","","43355","3772","True","False"
"258","43356","四十四","44","送到嘴边的肥肉","","43531","3697","False","False"
"259","43532","四十五","45","近乎讹诈","","43685","3432","False","False"
"260","43686","四十六","46","二转高阶","","43875","3484","False","False"
"261","43876","四十七","47","被发现","","44091","3589","True","False"
"262","44092","四十八","48","白羽飞象","","44315","3639","True","False"
"263","44316","四十九","49","力所能及就可心安理得","","44539","4014","False","False"
"264","44540","五十","50","滴水之恩，当涌泉相报！","","44727","3659","False","False"
"265","44728","五十一","51","果然是魔道蛊师！","","44937","3587","False","False"
"266","44938","五十二","52","子不教父之过!","","45181","3757","False","False"
"267","45182","五十三","53","唯有实力，才是一切","","45359","3781","True","False"
"268","45360","五十四","54","死的才干净","","45571","3741","False","False"
"269","45572","五十五","55","尸群来袭","","45779","3587","False","False"
"270","45780","五十六","56","丁浩，你给我出来！","","45977","3623","True","False"
"271","45978","五十七","57","原来你是大师兄","","46131","3534","False","False"
"272","46132","五十八","58","背后一枪","","46437","5753","False","False"
"273","46438","五十九","59","计划中的分别","","46619","3516","False","False"
"274","46620","六十","60","父女相认","","46823","3547","False","False"
"275","46824","六十一","61","各有算计","","47007","3487","False","False"
"276","47008","六十二","62","商家内城","","47237","3620","True","False"
"277","47238","六十三","63","卖不出去","","47433","3602","False","False"
"278","47434","六十四","64","接见","","47601","3526","False","False"
"279","47602","六十五","65","糟糕透顶！","","47785","3499","True","False"
"280","47786","六十六","66","刀光对骨枪","","47973","3559","False","False"
"281","47974","六十七","67","我名叫方正","","48151","3602","False","False"
"282","48152","六十八","68","大大低估了方源的无耻","","48317","3430","True","False"
"283","48318","六十九","69","暴富","","48527","3730","True","False"
"284","48528","七十","70","家宴","","48707","3593","True","False"
"285","48708","七十一","71","商燕飞的酬谢","","48917","3680","True","False"
"286","48918","七十二","72","紫荆令牌（二合一大章）","","49265","6934","True","False"
"287","49266","七十二","72","紫荆令牌","","49611","6930","False","False"
"288","49612","七十三","73","新盟约","","49807","3590","False","False"
"289","49808","七十四","74","晋升三转","","50003","3639","False","False"
"290","50004","七十五","75","活宝门","","50181","3494","False","False"
"291","50182","七十六","76","力道和冰道","","50337","3465","True","False"
"292","50338","七十七","77","星辰石","","50501","3542","True","False"
"293","50502","七十八","78","谨慎和忍耐","","50719","3554","True","False"
