"section_number","occurrences","first_source_line","last_source_line","titles","canonical_candidates","review_required"
"1","5","426","121058","纵身亡魔心仍不悔 | 黄龙江上竹筏倾 | 凤九歌 | 回归狐仙福地","1","4"
"2","5","604","121210","逆光阴五百年觉悟 | 浅滩休整借蛊虫 | 仙鹤门的谋 | 愧疚的太白云生","4","1"
"3","5","772","121422","请一边玩蛋去 | 鳄杀机少女悲鸣 | 方源苏醒 | 再见智慧蛊","4","1"
"4","4","906","121572","古月方源！ | 各怀异志 | 执掌福地 | 破产和僵盟","4","0"
"5","4","1062","121714","人祖三蛊，希望开窍 | 背甲蛊和鳄力蛊 | 荡魂山胆石 | 问询墨瑶意志","4","0"
"6","4","1178","121878","未来的路，会很精彩 | 夜宿树冠 | 未来大计 | 推算蛊方","4","0"
"7","5","1334","122040","蛊师有九转，花酒留遗藏 | 成为主导者 | 我喜欢你的恐惧 | 我要大义灭亲","4","1"
"8","5","1448","122192","物是人非 | 轩辕神鸡 | 一场戏 | 东方长凡方寸山","4","1"
"9","5","1624","122350","渐行渐远 | 奔逃 | 上位者的良知 | 破局难黑楼兰","4","1"
"10","5","1778","122504","天有不测风云，炼蛊别具艰辛 | 遭遇魔道蛊师 | 为了明天！ | 人的肮脏","4","1"
"11","4","1908","122656","不过是色诱罢了 | 谋划 | 渡地灾（上） | 雪山立盟","4","0"
"12","4","2056","122816","青竹酒香，蛊师逞威 | 路 | 渡地灾（下） | 再面泥沼蟹","4","0"
"13","4","2234","123004","月下竹林，一点珠雪 | 猴脑美食 | 有失有得 | 墨人王","4","0"
"14","4","2396","123154","山缝之中藏玄机 | 坑 | 方正的痛苦 | 辨认仙蛊","4","0"
"15","4","2574","123304","历史由胜利者书写 | 轰！ | 兄弟相见 | 收获颇丰","4","0"
"16","4","2680","123468","尽收囊中 | 方源落泪 | 石人族大发展 | 三张十成仙蛊方！","4","0"
"17","4","2808","123616","初炼酒虫 | 青铜舍利蛊 | 幽魂魔尊 | 巨大利润！","4","0"
"18","4","2980","123766","就让往事如烟飘散 | 授人以柄 | 方源你这个小王八蛋！ | 八臂仙人春星雨","4","0"
"19","4","3194","123910","六转本命春秋蝉！ | 演得好一场戏 | 我们要屠仙 | 星罗小仙","4","0"
"20","4","3328","124044","学堂家老无语了 | 跋涉白骨山 | 仙蛊和稀泥 | 鹤风扬之谋","4","0"
"21","4","3456","124174","怎么会是哥哥得了这第一？ | 原来是魔道贼子！ | 踏足北原 | 冰钻星尘","4","0"
"22","4","3576","124342","月刃飞舞 | 欢迎来到白骨山 | 你就从了我吧 | 封印春秋蝉","4","0"
"23","4","3740","124482","养蛊就像养情妇 | 白骨传承（上） | 鬼脸葵海 | 仙蛊喂养的难题","4","0"
"24","4","3928","124636","近战蛊师 | 白骨传承（中） | 影鸦 | 千愿树","4","0"
"25","4","4080","124782","春光正明媚 | 白骨传承（下） | 白骨战车 | 磐石气运","4","0"
"26","4","4230","124986","一切组织的本质 | 玉骨铁骨 | 常山阴之死 | 死了","4","0"
"27","4","4316","125196","公然勒索 | 骨肉团圆 | 人皮蛊 | 人药蛊","4","0"
"28","4","4454","125378","无本生意！ | 无足鸟啊，振翅高飞吧！ | 雪洗蛊 | 一战黑城","4","0"
"29","4","4618","125548","不择手段 | 幽豹殉情 | 常山阴，做我的丈夫吧！ | 奇蛊榜排行第四","4","0"
"30","4","4758","125672","方源！你又来抢？ | 村庄休整 | 别挡住我通往成功的路！ | 仙蛊喊饿","4","0"
"31","4","4858","125828","方源，你大祸临头了！ | 合作修行 | 死在路上也丝毫不悔 | 芝林、地马","4","0"
"32","4","4980","126002","戏耍 | 修行得上瘾了！ | 风狼王 | 九龙护棺运","4","0"
"33","4","5130","126166","你骂吧 | 换骨剧痛 | 常山阴恩人 | 炼制群力蛊","4","0"
"34","4","5262","126342","压着你打！ | 深深的误会 | 葛家营地 | 黑楼兰升仙（上）","4","0"
"35","4","5410","126486","你叫吧 | 通缉令 | 十年风雪两茫茫 | 黑楼兰升仙（中）","4","0"
"36","4","5560","126684","分尸送礼！ | 商心慈 | 洪福齐天马鸿运 | 黑楼兰升仙（下）","4","0"
"37","3","5702","81728","既是妥协又是威胁 | 好人会有好报？ | 钧力蛊","3","0"
"38","3","5818","81894","魔头在光明中行走 | 揍人 | 蛮家挑战","3","0"
"39","4","6014","195908","蛤蟆商队 | 小姐救命！ | 蛮家邀请 | 罐河察运：","3","1"
"40","3","6144","82218","紫金石中蟾蛊眠 | 匪猴山 | 修复战骨车轮","3","0"
"41","3","6278","82384","解石 | 掰手腕 | 魂道蛊仙名鬼王","3","0"
"42","3","6424","82564","竟然真的开出了蛊？！ | 黄金山 | 蛛丝马迹蛊","3","0"
"43","3","6578","82718","最后的第六块紫金石 | 聪明人的默契 | 再获五转蛊","3","0"
"44","3","6692","82854","猴儿酒，酒虫机缘不相让 | 送到嘴边的肥肉 | 力量才是根本","3","0"
"45","3","6856","82984","洞心机，已在瓮中不自觉 | 近乎讹诈 | 小人之心君子之腹","3","0"
"46","3","7046","83122","杀人不要想太多 | 二转高阶 | 龟背狼群","3","0"
"47","3","7166","83314","贾金生，其实我不想杀你的 | 被发现 | 激战（上）","3","0"
"48","3","7362","83530","有些可爱 | 白羽飞象 | 激战（中）","3","0"
"49","3","7554","83734","不愁方源脱离掌控 | 力所能及就可心安理得 | 激战（下）","3","0"
"50","3","7712","83922","中阶! | 滴水之恩，当涌泉相报！ | 夜袭","3","0"
"51","3","7892","84120","倒要看看你怎么解释 | 果然是魔道蛊师！ | 英雄的呼唤","3","0"
"52","3","8076","84320","我的解释你只能接受 | 子不教父之过! | 狼王，你的援军呢？！","3","0"
"53","3","8304","84528","方源就任命你为班头 | 唯有实力，才是一切 | 老族长之死","3","0"
"54","3","8312","84704","我可是班头啊！ | 死的才干净 | 琅琊福地","3","0"
