"number","occurrences","first_line","first_title","last_line"
"1","5","426","纵身亡魔心仍不悔","121058"
"2","5","604","逆光阴五百年觉悟","121210"
"3","5","772","请一边玩蛋去","121422"
"4","4","906","古月方源！","121572"
"5","4","1062","人祖三蛊，希望开窍","121714"
"6","4","1178","未来的路，会很精彩","121878"
"7","5","1334","蛊师有九转，花酒留遗藏","122040"
"8","5","1448","物是人非","122192"
"9","5","1624","渐行渐远","122350"
"10","5","1778","天有不测风云，炼蛊别具艰辛","122504"
"11","4","1908","不过是色诱罢了","122656"
"12","4","2056","青竹酒香，蛊师逞威","122816"
"13","4","2234","月下竹林，一点珠雪","123004"
"14","4","2396","山缝之中藏玄机","123154"
"15","4","2574","历史由胜利者书写","123304"
"16","4","2680","尽收囊中","123468"
"17","4","2808","初炼酒虫","123616"
"18","4","2980","就让往事如烟飘散","123766"
"19","4","3194","六转本命春秋蝉！","123910"
"20","4","3328","学堂家老无语了","124044"
"21","4","3456","怎么会是哥哥得了这第一？","124174"
"22","4","3576","月刃飞舞","124342"
"23","4","3740","养蛊就像养情妇","124482"
"24","4","3928","近战蛊师","124636"
"25","4","4080","春光正明媚","124782"
"26","4","4230","一切组织的本质","124986"
"27","4","4316","公然勒索","125196"
"28","4","4454","无本生意！","125378"
"29","4","4618","不择手段","125548"
"30","4","4758","方源！你又来抢？","125672"
"31","4","4858","方源，你大祸临头了！","125828"
"32","4","4980","戏耍","126002"
"33","4","5130","你骂吧","126166"
"34","4","5262","压着你打！","126342"
"35","4","5410","你叫吧","126486"
"36","4","5560","分尸送礼！","126684"
"37","3","5702","既是妥协又是威胁","81728"
"38","3","5818","魔头在光明中行走","81894"
"39","4","6014","蛤蟆商队","195908"
"40","3","6144","紫金石中蟾蛊眠","82218"
"41","3","6278","解石","82384"
"42","3","6424","竟然真的开出了蛊？！","82564"
"43","3","6578","最后的第六块紫金石","82718"
"44","3","6692","猴儿酒，酒虫机缘不相让","82854"
"45","3","6856","洞心机，已在瓮中不自觉","82984"
"46","3","7046","杀人不要想太多","83122"
"47","3","7166","贾金生，其实我不想杀你的","83314"
"48","3","7362","有些可爱","83530"
"49","3","7554","不愁方源脱离掌控","83734"
"50","3","7712","中阶!","83922"
"51","3","7892","倒要看看你怎么解释","84120"
"52","3","8076","我的解释你只能接受","84320"
"53","3","8304","方源就任命你为班头","84528"
"54","3","8312","我可是班头啊！","84704"
"55","3","8522","要的就是你这番话","84898"
"56","3","8680","洗尽嫌疑","85064"
"57","3","8816","君子的谎言","85224"
"58","3","8980","家族里不是只有规矩","85420"
"59","3","9118","不管三转四转，都是猴子","85570"
"60","3","9242","影灭壁破现甬道，魔道传承岂易","85754"
"61","3","9394","草绳上的人生","85952"
"62","3","9554","蛊室再选蛊","86134"
"63","3","9736","月下赠玉皮，地花藏白豕","86310"
"64","3","9926","暗事好做，明事难成","86500"
"65","3","10088","还不快滚","86684"
"66","3","10260","人死如猪死","86868"
"67","3","10454","你放心，我会饶了你们的","86996"
"68","3","10584","大自然没有无辜","87154"
"69","3","10732","命贱如草","87308"
"70","4","10840","使用白豕蛊","386824"
"71","3","11014","力可扛猪思低调","87662"
"72","4","11168","任何组织都需要忠诚","87814"
"73","3","11302","神秘的红圈标记","87958"
"74","3","11476","智窥迷雾现杀机","88090"
"75","3","11632","魔道的觉悟！","88270"
"76","3","11810","后悔吗","88484"
"77","3","12006","阴差阳错","88648"
"78","4","12180","不出算计收获丰","203362"
"79","3","12334","突破遗藏第六蛊","89060"
"80","3","12520","战力大涨","89240"
