"Number","SourceLine","Text"
"1","34590","正文 第一节：黄龙江上竹筏倾"
"2","34774","正文 第二节：浅滩休整借蛊虫"
"3","34960","正文 第三节：鳄杀机少女悲鸣"
"4","35142","正文 第四节：各怀异志"
"5","35334","正文 第五节：背甲蛊和鳄力蛊"
"6","35530","正文 第六节：夜宿树冠"
"7","35716","正文 第七节：成为主导者"
"8","35908","正文 第八节：轩辕神鸡"
"9","36082","正文 第九节：奔逃"
"10","36306","正文 第十节：遭遇魔道蛊师"
"11","36506","正文 第十一节：谋划"
"12","36664","正文 第十二节：路"
"13","36984","正文 第十三节：猴脑美食"
"14","37180","正文 第十四节：坑"
"15","37366","正文 第十五节：轰！"
"16","37600","正文 第十六节：方源落泪"
"17","37786","正文 第十七节：青铜舍利蛊"
"18","37950","正文 第十八节：授人以柄"
"19","38140","正文 第十九节：演得好一场戏"
"20","38320","正文 第二十节：跋涉白骨山"
"21","38508","正文 第二十一节：原来是魔道贼子！"
"22","38716","正文 第二十二节：欢迎来到白骨山"
"23","38940","正文 第二十三节：白骨传承（上）"
"24","39152","正文 第二十四节：白骨传承（中）"
"25","39386","正文 第二十五节：白骨传承（下）"
"26","39554","正文 第二十六节：玉骨铁骨"
"27","39772","正文 第二十七节：骨肉团圆"
"28","40044","正文 第二十八节：无足鸟啊，振翅高飞吧！"
"29","40428","正文 第二十九节：幽豹殉情"
"30","40618","正文 第三十节：村庄休整"
"31","40796","正文 第三十一节：合作修行"
"32","40986","正文 第三十二节：修行得上瘾了！"
"33","41168","正文 第三十三节：换骨剧痛"
"34","41348","正文 第三十四节：深深的误会"
"35","41546","正文 第三十五节：通缉令"
"36","41740","正文 第三十六节：商心慈"
"37","41942","正文 第三十七节：好人会有好报？"
"38","42128","正文 第三十八节：揍人"
"39","42386","正文 第三十九节：小姐救命！"
"40","42616","正文 第四十节：匪猴山"
"41","42800","正文 第四十一节：掰手腕"
"42","43006","正文 第四十二节：黄金山"
"43","43192","正文 第四十三节：聪明人的默契"
"44","43356","正文 第四十四节：送到嘴边的肥肉"
"45","43532","正文 第四十五节：近乎讹诈"
"46","43686","正文 第四十六节：二转高阶"
"47","43876","正文 第四十七节：被发现"
"48","44092","正文 第四十八节：白羽飞象"
"49","44316","正文 第四十九节：力所能及就可心安理得"
"50","44540","正文 第五十节：滴水之恩，当涌泉相报！"
"51","44728","正文 第五十一节：果然是魔道蛊师！"
"52","44938","正文 第五十二节：子不教父之过!"
"53","45182","正文 第五十三节：唯有实力，才是一切"
"54","45360","正文 第五十四节：死的才干净"
"55","45572","正文 第五十五节：尸群来袭"
"56","45780","正文 第五十六节：丁浩，你给我出来！"
"57","45978","正文 第五十七节：原来你是大师兄"
"58","46132","正文 第五十八节：背后一枪"
"59","46438","正文 第五十九节：计划中的分别"
"60","46620","正文 第六十节：父女相认"
"61","46824","正文 第六十一节：各有算计"
"62","47008","正文 第六十二节：商家内城"
"63","47238","正文 第六十三节：卖不出去"
"64","47434","正文 第六十四节：接见"
"65","47602","正文 第六十五节：糟糕透顶！"
"66","47786","正文 第六十六节：刀光对骨枪"
"67","47974","正文 第六十七节：我名叫方正"
"68","48152","正文 第六十八节：大大低估了方源的无耻"
"69","48318","正文 第六十九节：暴富"
"70","48528","正文 第七十节：家宴"
"71","48708","正文 第七十一节：商燕飞的酬谢"
"72","48918","正文 第七十二节：紫荆令牌（二合一大章）"
"73","49612","正文 第七十三节：新盟约"
"74","49808","正文 第七十四节：晋升三转"
"75","50004","正文 第七十五节：活宝门"
"76","50182","正文 第七十六节：力道和冰道"
"77","50338","正文 第七十七节：星辰石"
"78","50502","正文 第七十八节：谨慎和忍耐"
"79","50720","正文 第七十九节：何等天真！"
"80","50926","正文 第八十节：这就动手？!"
"81","51124","正文 第八十一节：剑影蛊（两章合一）"
"82","51458","正文 第八十二节：熊力虚影"
"83","51692","正文 第八十三节：灵光一闪蛊"
"84","51878","正文 第八十四节：得手"
"85","52088","正文 第八十五节：一，二，五"
"86","52288","正文 第八十六节：全力以赴蛊"
"87","52448","正文 第八十七节：牛刀小试先一场"
"88","52632","正文 第八十八节：名声蛊"
"89","52826","正文 第八十九节：力道修行有玄机"
"90","53082","正文 第九十节：不能阻挡我"
"91","53270","正文 第九十一节：方源vs李好（上）"
"92","53504","正文 第九十二节：方源vs李好（下）"
"93","53786","正文 第九十三节：法则碎片，大道之痕"
"94","53980","正文 第九十四节：苍天无眼啊"
"95","54188","正文 第九十五节：罪犯必要严惩！"
"96","54350","正文 第九十六节：其实，我也是受害者"
"97","54524","正文 第九十七节：拍卖会"
"98","54744","正文 第九十八节：一蹴而就蛊"
"99","54962","正文 第九十九节：白凝冰vs铁刀苦"
"100","55196","正文 第一百节：闭嘴，你这头肥猪！"
"101","55390","正文 第一百零一节：方源vs朱八（上）"
"102","55640","正文 第一百零二节：方源vs朱八（下）"
"103","55832","正文 第一百零三节：铁若男"
"104","56006","正文 第一百零四节：真想扼杀掉"
"105","56166","正文 第一百零五节：苦力蛊"
"106","56382","正文 第一百零六节：拍卖（上）"
"107","56558","正文 第一百零七节：拍卖（中）"
"108","56748","正文 第一百零八节：拍卖（下）"
"109","56962","正文 第一百零九节：拍卖（终）"
"110","57172","正文 第一百一十节：心慈之志"
"111","57344","正文 第一百一十一节：你这个无耻小人！"
"112","57496","正文 第一百一十二节：其实我是个善良的人"
"113","57674","正文 第一百一十三节：再到三转巅峰"
"114","57892","正文 第一百一十四节：白凝冰VS炎突"
"115","58120","正文 第一百一十五节：胜和败"
"116","58466","正文 第一百一十六节：硬气蛊"
"117","58658","正文 第一百一十七节：必胜魔心"
"118","58884","正文 第一百一十八节：方源vs巨开碑（上）"
"119","59132","正文 第一百一十九节：方源vs巨开碑（中）"
"120","59332","正文 第一百二十节：方源vs巨开碑（下）"
"121","59580","正文 第一百二十一节：一飞冲天"
"122","59796","正文 第一百二十二节：商家城喧腾"
"123","59960","正文 第一百二十三节：竞争压力"
"124","60102","正文 第一百二十四节：三王传承开启"
"125","60308","正文 第一百二十五节：大赚一笔"
"126","60482","正文 第一百二十六节：仙之福地"
"127","60628","正文 第一百二十七节：九眼酒虫"
"128","60800","正文 第一百二十八节：才貌双全，心慈风采"
"129","60988","正文 第一百二十九节：都是吃"
"130","61168","正文 第一百三十节：雄家三兄弟"
"131","61350","正文 第一百三十一节：卫德馨"
"132","61524","正文 第一百三十二节：晋升四转"
"133","61716","正文 第一百三十三节：周全的震骇"
"134","61902","正文 第一百三十四节：离开商家城"
"135","62102","正文 第一百三十五节：仙鹤门，方正"
"136","62298","正文 第一百三十六节：白狐蛊仙传承"
"137","62456","正文 第一百三十七节：英雄救美"
"138","62628","正文 第一百三十八节：见死不救"
"139","62828","正文 第一百三十九节：狐魅儿"
"140","63012","正文 第一百四十节：麻烦"
"141","63164","正文 第一百四十一节：打成肉渣"
"142","63378","正文 第一百四十二节：何等的穷凶极恶！"
"143","63548","正文 第一百四十三节：彪"
"144","63752","正文 第一百四十四节：卑劣无耻"
"145","63982","正文 第一百四十五节：有才无德"
"146","64144","正文 第一百四十六节：横冲直撞蛊"
"147","64334","正文 第一百四十七节：初入犬王传承"
"148","64542","正文 第一百四十八节：何等的奴道造诣！"
"149","64738","正文 第一百四十九节：菊花秋田犬"
"150","64932","正文 第一百五十节：大电文狗"
"151","65148","正文 第一百五十一节：狗胆蛊"
"152","65324","正文 第一百五十二节：一心多用蛊"
"153","65528","正文 第一百五十三节：随手杀了"
"154","65718","正文 第一百五十四节：雷猪、岩鳄"
"155","65890","正文 第一百五十五节：古铜皮蛊"
"156","66052","正文 第一百五十六节：易火的招揽"
"157","66210","正文 第一百五十七节：身上有毛的人"
"158","66434","正文 第一百五十八节：毛民的传说"
"159","66620","正文 第一百五十九节：新底牌"
"160","66810","正文 第一百六十节：拦截"
"161","66978","正文 第一百六十一节：以一对七(上)"
"162","67200","正文 第一百六十二节：以一对七(中)"
"163","67396","正文 第一百六十三节：以一对七(下)"
"164","67552","正文 第一百六十四节：以一对七(终)"
"165","67732","正文 第一百六十五节：声名大噪！"
"166","67920","正文 第一百六十六节：狐仙福地开启"
"167","68090","正文 第一百六十七节：地灵"
"168","68212","正文 第一百六十八节：这年头干爹不好当"
"169","68362","正文 第一百六十九节：撕了童子"
"170","68552","正文 第一百七十节：魔道的觉悟"
"171","68720","正文 第一百七十一节：铁家的荣耀"
"172","68882","正文 第一百七十二节：且让他飞得再高些"
"173","69040","正文 第一百七十三节：地灵——蛊仙之殇"
"174","69196","正文 第一百七十四节：五转大战"
"175","69374","正文 第一百七十五节：福地有灾劫"
"176","69522","正文 第一百七十六节：群雄并现"
"177","69708","正文 第一百七十七节：方源主动寻死"
"178","69908","正文 第一百七十八节：炼仙蛊！"
"179","70102","正文 第一百七十九节：他死了"
"180","70348","正文 第一百八十节：一切皆在谋算中"
"181","70512","正文 第一百八十一节：屠戮五转"
"182","70708","正文 第一百八十二节：都要死！"
"183","70872","正文 第一百八十三节：继续杀"
"184","71046","正文 第一百八十四节：宇宙奥义，红莲魔尊"
"185","71184","正文 第一百八十五节：狡诈鬼医，生死秘门"
"186","71332","正文 第一百八十六节：恩怨情仇"
"187","71460","正文 第一百八十七节：他也死了"
"188","71662","正文 第一百八十八节：五转奴隶蛊"
"189","71828","正文 第一百八十九节：青天碧空，狐仙金煌"
"190","72010","正文 第一百九十节：只差最后一步"
"191","72226","正文 第一百九十一节：魔无天"
"192","72404","正文 第一百九十二节：魔道联军"
"193","72580","正文 第一百九十三节：正魔齐攻"
"194","72754","正文 第一百九十四节：群攻"
"195","72952","正文 第一百九十五节：大功告成！"
"196","73146","正文 第一百九十六节：白凝冰？"
"197","73360","正文 第一百九十七节：白凝冰！"
"198","73512","正文 第一百九十八节：战斗才刚刚开始"
"199","73696","正文 第一百九十九节：为山九仞功亏一篑"
"200","73900","正文 第二百节：春秋蝉！"
"201","74080","正文 第二百零一节：人生匆匆百年，不过一场豪赌！"
"202","74252","正文 第二百零二节：再度决战"
"203","74432","正文 第二百零三节：一切皆在我掌控之中"
"204","74632","正文 第二百零四节：白凝冰，你演够了吗？"
"205","74816","正文 第二百零五节：再炼仙蛊！"
"206","75004","正文 第二百零六节：今日暂且展翼去，明朝登仙笞凤凰！"
