Number,SourceLine,Text
1,75384,正文 第一节：凤九歌
2,75540,正文 第二节：仙鹤门的谋
3,75664,正文 第三节：方源苏醒
4,75830,正文 第四节：执掌福地
5,75988,正文 第五节：荡魂山胆石
6,76152,正文 第六节：未来大计
7,76308,正文 第七节：我喜欢你的恐惧
8,76494,正文 第八节：一场戏
9,76662,正文 第九节：上位者的良知
10,76822,正文 第十节：为了明天！
11,77038,正文 第十一节：渡地灾（上）
12,77244,正文 第十二节：渡地灾（下）
13,77448,正文 第十三节：有失有得
14,77624,正文 第十四节：方正的痛苦
15,77784,正文 第十五节：兄弟相见
16,77944,正文 第十六节：石人族大发展
17,78122,正文 第十七节：幽魂魔尊
18,78310,正文 第十八节：方源你这个小王八蛋！
19,78470,正文 第十九节：我们要屠仙
20,78660,正文 第二十节：仙蛊和稀泥
21,78808,正文 第二十一节：踏足北原
22,78992,正文 第二十二节：你就从了我吧
23,79172,正文 第二十三节：鬼脸葵海
24,79360,正文 第二十四节：影鸦
25,79540,正文 第二十五节：白骨战车
26,79730,正文 第二十六节：常山阴之死
27,79888,正文 第二十七节：人皮蛊
28,80056,正文 第二十八节：雪洗蛊
29,80226,正文 第二十九节：常山阴，做我的丈夫吧！
30,80432,正文 第三十节：别挡住我通往成功的路！
31,80632,正文 第三十一节：死在路上也丝毫不悔
32,80834,正文 第三十二节：风狼王
33,81022,正文 第三十三节：常山阴恩人
34,81190,正文 第三十四节：葛家营地
35,81366,正文 第三十五节：十年风雪两茫茫
36,81528,正文 第三十六节：洪福齐天马鸿运
37,81728,正文 第三十七节：钧力蛊
38,81894,正文 第三十八节：蛮家挑战
39,82046,正文 第三十九节：蛮家邀请
40,82218,正文 第四十节：修复战骨车轮
41,82384,正文 第四十一节：魂道蛊仙名鬼王
42,82564,正文 第四十二节：蛛丝马迹蛊
43,82718,正文 第四十三节：再获五转蛊
44,82854,正文 第四十四节：力量才是根本
45,82984,正文 第四十五节：小人之心君子之腹
46,83122,正文 第四十六节：龟背狼群
47,83314,正文 第四十七节：激战（上）
48,83530,正文 第四十八节：激战（中）
49,83734,正文 第四十九节：激战（下）
50,83922,正文 第五十节：夜袭
51,84120,正文 第五十一节：英雄的呼唤
52,84320,正文 第五十二节：狼王，你的援军呢？！
53,84528,正文 第五十三节：老族长之死
54,84704,正文 第五十四节：琅琊福地
55,84898,正文 第五十五节：古往炼道第一仙
56,85064,正文 第五十六节：三尊说
57,85224,正文 第五十七节：换蛊
58,85420,正文 第五十八节：方源的尴尬
59,85570,正文 第五十九节：不永生都是屎
60,85754,正文 第六十节：今夜星空真美
61,85952,正文 第六十一节：没有什么不能出卖的
62,86134,正文 第六十二节：智道
63,86310,正文 第六十三节：阴谋
64,86500,正文 第六十四节：活棋
65,86684,正文 第六十五节：水魔
66,86868,正文 第六十六节：狼王，你疯了吗！？
67,86996,正文 第六十七节：奴道之威!
68,87154,正文 第六十八节：正道英雄
69,87308,正文 第六十九节：投降
70,87492,正文 第七十节：飞跃的修为
71,87662,正文 第七十一节：气泡鱼
72,87814,正文 第七十二节：五转敛息蛊
73,87958,正文 第七十三节：中流砥柱
74,88090,正文 第七十四节：杀人的好天气
75,88270,正文 第七十五节：死吧，死吧
76,88484,正文 第七十六节：贝草川
77,88648,正文 第七十七节：裴燕飞
78,88854,正文 第七十八节：安然撤退
79,89060,正文 第七十九节：影响
80,89240,正文 第八十节：算计地灵
81,89412,正文 第八十一节：两仙蛊入手！
82,89598,正文 第八十二节：交易仙蛊
83,89780,正文 第八十三节：马英杰
84,89944,正文 第八十四节：对常山阴的议论
85,90136,正文 第八十五节：第二空窍！
86,90306,正文 第八十六节：狼群暴膨
87,90478,正文 第八十七节：再收异兽狼
88,90662,正文 第八十八节：战力激增
89,90854,正文 第八十九节：都给我滚
90,91062,正文 第九十节：灰白石板
91,91240,正文 第九十一节：地丘传承
92,91414,正文 第九十二节：墨狮狂
93,91624,正文 第九十三节：狼嚎声起
94,91826,正文 第九十四节：龟玉狼皮蛊
95,92022,正文 第九十五节：内外交困斩荆棘
96,92204,正文 第九十六节：五十万狼启战端
97,92392,正文 第九十七节：赵怜云
98,92532,正文 第九十八节：东方余亮
99,92686,正文 第九十九节：刺杀(大章)
100,92960,正文 第一百节：星念蛊
101,93130,正文 第一百零一节：三心合魂
102,93292,正文 第一百零二节：令人惊喜的盗天传承
103,93470,正文 第一百零三节：先挑狼王
104,93634,正文 第一百零四节：大手一挥
105,93826,正文 第一百零五节：大战
106,94014,正文 第一百零六节：暗漩云涡
107,94200,正文 第一百零七节：可靠的盟友
108,94368,正文 第一百零八节：七星灯
109,94562,正文 第一百零九节：狼王的狠辣
110,94754,正文 第一百一十节：东方余亮的后手
111,94918,正文 第一百一十一节：战功榜
112,95078,正文 第一百一十二节：潜魂兽衣蛊
113,95258,正文 第一百一十三节：扬名
114,95442,正文 第一百一十四节：只是一场游戏
115,95596,正文 第一百一十五节：偷鞋（上）
116,95748,正文 第一百一十六节：偷鞋（下）
117,95896,正文 第一百一十七节：五转功倍蛊
118,96042,正文 第一百一十八节：老夫太白云生
119,96268,正文 第一百一十九节：威望隆重功第一
120,96428,正文 第一百二十节：风云急变少猛将
121,96610,正文 第一百二十一节:修罗欧阳两败伤
122,96794,正文 第一百二十二节：一心求胜顾狼王
123,96926,正文 第一百二十三节:真武秘辛等支援
124,97052,正文 第一百二十四节:穿越而已仍自奋
125,97224,正文 第一百二十五节：为他整理容貌
126,97446,正文 第一百二十六节：大战（上）
127,97626,正文 第一百二十七节：大战（中）
129,97968,正文 第一百二十九节：大战（终）
130,98182,正文 第一百三十节：“父子”相见
131,98346,正文 第一百三十一节：大决战
132,98532,正文 第一百三十二节：雪松子
133,98704,正文 第一百三十三节：挑将
134,98886,正文 第一百三十四节：五转巅峰！
135,99088,正文 第一百三十五节：以一对三！
136,99266,正文 第一百三十六节：四臂地王！
137,99494,正文 第一百三十七节：兼修两道！
138,99704,正文 第一百三十八节：胜局已定
139,99900,正文 第一百三十九节：陷害蛊仙？
140,100080,正文 第一百四十节：马鸿运
141,100238,正文 第一百四十一节：渺小者的前行
142,100416,正文 第一百四十二节：寻觅成功
143,100612,正文 第一百四十三节：幽火蟒穴藏传承
144,100822,正文 第一百四十四节：借力雪蝠御天青
145,100998,正文 第一百四十五节：诗仙陨落星鹫峰
146,101172,正文 第一百四十六节：好好教育
147,101340,正文 第一百四十七节：巨阳仙尊
148,101512,正文 第一百四十八节：王庭圣宫
149,101698,正文 第一百四十九节：谋算艰难生不易
150,101862,正文 第一百五十节：雪爪飞舞楼显化
151,102058,正文 第一百五十一节：竟是蛊仙传承！
152,102234,正文 第一百五十二节：三等通关可为上？
153,102454,正文 第一百五十三节：巨阳大局晶中宝
154,102636,正文 第一百五十四节：仙尊意志
155,102832,正文 第一百五十五节：关键问题
156,103026,正文 第一百五十六节：参透密语
157,103216,正文 第一百五十七节：贪生怕死因由何？
158,103372,正文 第一百五十八节：三份传承显本性
159,103562,正文 第一百五十九节：伟力逆流惊圣宫
160,103750,正文 第一百六十节：众人蜂拥各有意
161,103934,正文 第一百六十一节：近水楼台解玄秘
162,104124,正文 第一百六十二节：人生为何早有悟（六千二大章）
163,104494,正文 第一百六十三节：墨瑶意志
164,104686,正文 第一百六十四节：六臂天尸王
165,104842,正文 第一百六十五节：妥协
166,105004,正文 第一百六十六节：死不足惜
167,105176,正文 第一百六十七节：炼得地魁尸蛊
168,105368,正文 第一百六十八节：人肉试验
169,105534,正文 第一百六十九节：墨瑶的弱点
170,105690,正文 第一百七十节：再探真阳楼
171,105850,正文 第一百七十一节：奖励的杀招
172,106026,正文 第一百七十二节：公子，救我……
173,106206,正文 第一百七十三节：联姻
174,106358,正文 第一百七十四节：代理家老
175,106512,正文 第一百七十五节：杀招完善
176,106724,正文 第一百七十六节：升六角，难找试蛊之人
177,106876,正文 第一百七十七节：战飞熊，狼王独得五成
178,107064,正文 第一百七十八节：杀飞熊，最后关口生变
179,107348,正文 第一百七十九节：水魔陨，方源一语惊人
180,107580,正文 第一百八十节：终过关，方源索要仙蛊
181,107786,正文 第一百八十一节：演飞熊，墨瑶话虚道
182,107948,正文 第一百八十二节：仙凡之别差万千
183,108148,正文 第一百八十三节：互有阴谋各算计
184,108324,正文 第一百八十四节：父子羁绊真假情
185,108488,正文 第一百八十五节：散迫身亡不可待
186,108678,正文 第一百八十六节：牺牲（六千七大章）
187,109132,正文 第一百八十七节：影子深黑
188,109442,正文 第一百八十八节：力道仙蛊出现
189,109640,正文 第一百八十九节：计划发动！
190,109842,正文 第一百九十节：青藤锁关，方源暗害
191,110018,正文 第一百九十一节：早有准备，墨瑶惊疑
192,110228,正文 第一百九十二节：真传秘境，意想不到
193,110428,正文 第一百九十三节：三老三真传，意志可取巧
194,110622,正文 第一百九十四节：长生难难难
195,110806,正文 第一百九十五节：无上真传！
196,110964,正文 第一百九十六节：捡漏
