line_no	type	sample
40	英文残留	正巧当时在要创建一个账号，ok，于是这个ID就诞生了。
48	英文残留	好像是在六年前，我创下“蛊真人”这个ID，就是心中有个愿望，想见证一个邪恶大反派。他有着自己的行为方式，被世人不容，恣意纵横，又不屑解释。他杀伐果断，从不为情所困，看到美女也绝不腿软。
162	英文残留	正巧当时在要创建一个账号，ok，于是这个ID就诞生了。
170	英文残留	好像是在六年前，我创下“蛊真人”这个ID，就是心中有个愿望，想见证一个邪恶大反派。他有着自己的行为方式，被世人不容，恣意纵横，又不屑解释。他杀伐果断，从不为情所困，看到美女也绝不腿软。
768	作者话候选	（新书期间，稳定更新。目前一天两更，上午八点一更，下午两点一更。）
770	作者话候选	（还有一个通知，以前老书《御妖至尊》的书友群也会做改变。原《御妖至尊》一群、二群，转为《蛊真人》一群、二群，原《御妖至尊》vip群改变为《蛊真人》三群。在今后大约40天的时间内，我会亲自主持管理工作。所以在节假日期间，请老朋友们冒个泡泡，这
986	敏感词:漠北	就在这时，学堂家老喊出第三个名字：“古月漠北。”
998	敏感词:漠北	少年们隔岸看得目瞪口呆，学堂家老欢喜得大叫起来：“好，古月漠北，乙等资质，来这里，让我看看你的元海。”
1000	敏感词:漠北	古月漠北便又回到学堂家老的身边，后者伸出手，搭在少年的肩膀，闭目凝神探查了一番，便收回手，点点头，在纸上记录起来：“古月漠北，元海六成六，可大力栽培。”
1012	敏感词:漠北	也就是说，这古月漠北只要成长起来，就是今后古月一族的家老。难怪学堂长老喜得哈哈一笑，而暗中关注的众家老们都统统舒了一口气，而后又纷纷向其中一位家老投去羡慕的目光。
1014	敏感词:漠尘	这家老也是一副马脸，正是古月漠北的爷爷古月漠尘。他脸上早已经荡漾起笑意，又挑衅地看了一眼自己的老对头：“怎么样，我的孙儿不差吧，古月赤练。”
1014	敏感词:漠北	这家老也是一副马脸，正是古月漠北的爷爷古月漠尘。他脸上早已经荡漾起笑意，又挑衅地看了一眼自己的老对头：“怎么样，我的孙儿不差吧，古月赤练。”
1034	敏感词:漠尘	“哈哈哈，三十六步，三十六步！”古月赤练大叫着，示威地瞪着古月漠尘。
1036	敏感词:漠尘	这次轮到古月漠尘脸色铁青了。
1052	敏感词:漠尘	“古月赤练一直和古月漠尘敌对，这两个家老是家族中最大的两派势力。为了打压对手，他需要自己的孙子资质出众。也正是因为他在背后掩护，古月赤城才能够隐瞒一时。记忆中要不是那场意外，也不会暴露。”
1328	敏感词:漠尘	“怎么可能？你赤练老鬼何德何能，误人子弟的本事倒是不错。这个孩子还不如交给我古月漠尘抚养。”古月漠尘像触电一般，立即咆哮起来。
1900	敏感词:漠北	“我手中只有六块元石，比不上古月漠北，古月赤城这种背后有长辈支持的人。我资质只有丙等，也比不上甲等资质的古月方正。这场考核本来就没有一丁点胜算，还不如分散精力，去寻找酒虫。若是能将酒虫炼成本命蛊，可比月光蛊要好多了。嗯？窗外的雨声小了，似乎
3190	英文残留	我幻想这样的一个情形：当我们老了，朋友们看到“蛊真人”这个id，会心一笑，自言自语：“哦，是他啊，我年轻的时候看过他的小说。我还给他投过推荐票呢。”或者我再翻开以前的版面，看到一个个熟悉的id，曾经打赏的，投月票的，评论的。我会回想，在我独
3502	敏感词:漠北	方正的心中，也有几位假象的劲敌。其中最具威胁的两两位，一个是古月漠北，另一个是古月赤城。
3508	敏感词:漠北	但是现在，夺得第一的，不是古月漠北也不是古月赤城，甚至不是他心中假想敌的任何一人。
3552	敏感词:漠尘	古月一族当权家老之一的古月漠尘，坐在书桌前，看着窗外的春景，悠然地喝着茶：“漠北还没有继续炼蛊么？”
3552	敏感词:漠北	古月一族当权家老之一的古月漠尘，坐在书桌前，看着窗外的春景，悠然地喝着茶：“漠北还没有继续炼蛊么？”
